Experience_Years,Job_Position,Salary,Company_Size,Year
2,Data Analyst,34126.0,100,2022
10,Data Analyst,870216.0,10000,2022
6,Data Analyst,34822.0,100000,2022
3,Data Analyst,72000.0,100000,2022
11,Data Analyst,19570.0,100000,2022
20,Data Analyst,240000.0,100,2022
44,Data Analyst,160000.0,10,2022
2,Data Analyst,10212.0,100,2022
17,Data Analyst,270000.0,100000,2022
15,Data Analyst,24924.0,100,2022
1,Data Analyst,34822.0,100000,2022
4,Data Analyst,53322.0,100000,2022
29,Data Analyst,28584.0,50000,2022
10,Data Analyst,639864.0,1000,2022
4,Data Analyst,42228.0,50000,2022
13,Data Analyst,27804.0,100,2022
22,Data Analyst,110000.0,100,2022
14,Data Analyst,400000.0,100,2022
5,Data Analyst,38392.0,1000,2022
8,Data Analyst,106644.0,100000,2022
3,Data Analyst,1290.0,100,2022
2,Data Analyst,47172.0,50000,2022
10,Data Analyst,93500.0,100000,2022
9,Data Analyst,53322.0,100,2022
1,Data Analyst,1000.0,10,2022
1,Data Analyst,31993.0,100,2022
6,Data Analyst,110000.0,10,2022
12,Data Analyst,65435.0,100,2022
14,Data Analyst,78924.0,100,2022
16,Data Analyst,37392.0,100,2022
22,Data Analyst,25000.0,10,2022
4,Data Analyst,37692.0,10000,2022
6,Data Analyst,121030.0,100,2022
12,Data Analyst,74180.0,100000,2022
22,Data Analyst,81387.0,50000,2022
10,Data Analyst,56538.0,100000,2022
37,Data Analyst,70771.0,10,2022
10,Data Analyst,77848.0,10,2022
7,Data Analyst,278580.0,1000,2022
3,Data Analyst,22728.0,100000,2022
5,Data Analyst,54060.0,100000,2022
20,Data Analyst,152000.0,10,2022
2,Data Analyst,696384.0,1000,2022
2,Data Analyst,26352.0,50000,2022
3,Data Analyst,33480.0,10,2022
12,Data Analyst,63984.0,100,2022
8,Data Analyst,51189.0,1000,2022
12,Data Analyst,2832.0,10,2022
3,Data Analyst,53322.0,1000,2022
6,Data Analyst,168.0,1000,2022
8,Data Analyst,69318.0,1000,2022
10,Data Analyst,31992.0,100,2022
25,Data Analyst,47990.0,50000,2022
30,Data Analyst,150767.0,10,2022
8,Data Analyst,74651.0,100000,2022
5,Data Analyst,61056.0,1000,2022
8,Data Analyst,41628.0,50000,2022
5,Data Analyst,53927.0,10000,2022
10,Data Analyst,55500.0,100000,2022
15,Data Analyst,58654.0,100,2022
7,Data Analyst,575880.0,100000,2022
2,Data Analyst,14124.0,100,2022
32,Data Analyst,82116.0,100000,2022
25,Data Analyst,85315.0,100,2022
4,Data Analyst,106793.0,1000,2022
10,Data Analyst,60948.0,1000,2022
3,Data Analyst,34548.0,10000,2022
1,Data Analyst,390312.0,100000,2022
5,Data Analyst,25054.0,50000,2022
18,Data Analyst,213287.0,100,2022
2,Data Analyst,37692.0,1000,2022
5,Data Analyst,79152.0,1000,2022
3,Data Analyst,204.0,1000,2022
18,Data Analyst,85000.0,1000,2022
3,Data Analyst,8319.0,1000,2022
18,Data Analyst,99000.0,10000,2022
22,Data Analyst,79646.0,10000,2022
7,Data Analyst,13092.0,10,2022
9,Data Analyst,53500.0,100,2022
1,Data Analyst,56991.0,100,2022
5,Data Analyst,464304.0,100,2022
17,Data Analyst,38392.0,10,2022
29,Data Analyst,110000.0,100000,2022
5,Data Analyst,47990.0,10,2022
