,Experience_Years,Job_Position,Salary,Year
660,2,3,61428.0,2022
661,2,1,64630.0,2021
662,2,1,70000.0,2021
663,2,1,54049.0,2021
664,2,1,59454.0,2021
665,2,1,60000.0,2021
666,2,1,60000.0,2021
667,2,1,51704.0,2021
668,2,1,55000.0,2021
669,2,1,61368.0,2021
670,2,1,55211.0,2021
671,2,1,56000.0,2021
672,2,1,67021.0,2021
673,2,1,70000.0,2021
674,2,1,60000.0,2021
675,2,1,56000.0,2021
676,2,1,70000.0,2021
677,2,1,54480.0,2021
678,2,1,63119.0,2021
679,2,1,51732.0,2021
680,2,1,65000.0,2021
681,2,1,55536.0,2021
682,2,1,72000.0,2021
683,2,1,57000.0,2021
684,2,1,56211.0,2021
685,2,1,58373.0,2021
686,2,1,48644.0,2021
687,2,1,60000.0,2021
688,2,1,72000.0,2021
689,2,1,63530.0,2021
690,2,2,54049.0,2021
691,2,2,64630.0,2021
692,2,2,54049.0,2021
693,2,2,51704.0,2021
694,2,2,59544.0,2021
695,2,2,60000.0,2021
696,2,2,70000.0,2021
697,2,2,65000.0,2021
698,2,2,57157.0,2021
699,2,2,62697.0,2021
700,2,2,48644.0,2021
701,2,2,64000.0,2021
702,2,2,53000.0,2021
703,2,2,58167.0,2021
704,2,2,61368.0,2021
705,2,2,55211.0,2021
706,2,2,60000.0,2021
707,2,2,48644.0,2021
708,2,2,51112.0,2021
709,2,2,52942.0,2021
710,2,2,51888.0,2021
711,2,2,51704.0,2021
712,2,2,50000.0,2021
713,2,2,60505.0,2021
714,2,2,65000.0,2021
715,2,2,52968.0,2021
716,2,2,72385.0,2021
717,2,2,50000.0,2021
718,2,2,52039.0,2021
719,2,2,64630.0,2021
720,2,2,66000.0,2021
721,2,2,55536.0,2021
722,2,2,50000.0,2021
723,2,2,60000.0,2021
724,2,2,68068.0,2021
725,2,2,54049.0,2021
726,2,2,61616.0,2021
727,2,2,56211.0,2021
728,2,2,49956.0,2021
729,2,2,64737.0,2021
730,2,2,54480.0,2021
731,2,2,52996.0,2021
732,2,2,60000.0,2021
733,2,2,72000.0,2021
734,2,3,54049.0,2021
735,2,3,64630.0,2021
736,2,3,54049.0,2021
737,2,3,51704.0,2021
738,2,3,59544.0,2021
739,2,3,60000.0,2021
740,2,3,70000.0,2021
741,2,3,65000.0,2021
742,2,3,57157.0,2021
743,2,3,62697.0,2021
744,2,3,48644.0,2021
745,2,3,64000.0,2021
746,2,3,53000.0,2021
747,2,3,58167.0,2021
748,2,3,61368.0,2021
749,2,3,55211.0,2021
750,2,3,60000.0,2021
751,2,3,48644.0,2021
752,2,3,51112.0,2021
753,2,3,52942.0,2021
754,2,3,51888.0,2021
755,2,3,51704.0,2021
756,2,3,50000.0,2021
757,2,3,60505.0,2021
758,2,3,65000.0,2021
759,2,3,52968.0,2021
760,2,3,72385.0,2021
761,2,3,50000.0,2021
762,2,3,52039.0,2021
763,2,3,64630.0,2021
764,2,3,66000.0,2021
765,2,3,55536.0,2021
766,2,3,50000.0,2021
767,2,3,60000.0,2021
768,2,3,68068.0,2021
769,2,3,54049.0,2021
770,2,3,61616.0,2021
771,2,3,56211.0,2021
772,2,3,49956.0,2021
773,2,3,64737.0,2021
774,2,3,54480.0,2021
775,2,3,52996.0,2021
776,2,3,60000.0,2021
777,2,3,72000.0,2021
778,2,1,48644.0,2020
