YearsCodePro,DevType,ConvertedCompYearly,OrgSize,Year
7,Data Analyst,60000.0,10-100,2022
46,Data Analyst,104000.0,10-100,2022
5,Data Analyst,51000.0,100-1000,2022
5,Data Analyst,80000.0,2-9,2022
16,Data Analyst,17448.0,2-9,2022
3,Data Analyst,19188.0,10-100,2022
5,Data Analyst,40205.0,100-1000,2022
3,Data Analyst,15600.0,10-100,2022
28,Data Analyst,213287.0,100-1000,2022
4,Data Analyst,4000000.0,100-1000,2022
20,Data Analyst,277500.0,1,2022
8,Data Analyst,85000.0,2-9,2022
10,Data Analyst,135000.0,10-100,2022
18,Data Analyst,62320.0,1000-4999,2022
7,Data Analyst,29280.0,10-100,2022
10,Data Analyst,40608.0,10000+,2022
4,Data Analyst,10963.0,10000+,2022
4,Data Analyst,29273.0,10000+,2022
9,Data Analyst,61853.0,10000+,2022
22,Data Analyst,57288.0,100-1000,2022
6,Data Analyst,20784.0,2-9,2022
29,Data Analyst,258000.0,100-1000,2022
Less than 1 year,Data Analyst,30153.0,100-1000,2022
6,Data Analyst,18056.0,10000+,2022
8,Data Analyst,8400.0,100-1000,2022
30,Data Analyst,113075.0,10-100,2022
25,Data Analyst,68277.0,100-1000,2022
26,Data Analyst,20196.0,1,2022
14,Data Analyst,115000.0,100-1000,2022
17,Data Analyst,110000.0,100-1000,2022
28,Data Analyst,250000.0,1,2022
15,Data Analyst,160000.0,10000+,2022
18,Data Analyst,240000.0,10-100,2022
25,Data Analyst,152000.0,1000-4999,2022
22,Data Analyst,33324.0,10000+,2022
Less than 1 year,Data Analyst,78084.0,10-100,2022
17,Data Analyst,75384.0,1000-4999,2022
7,Data Analyst,13404.0,100-1000,2022
4,Data Analyst,58654.0,10000+,2022
5,Data Analyst,335000.0,1000-4999,2022
6,Data Analyst,145000.0,10000+,2022
Less than 1 year,Data Analyst,280000.0,10000+,2022
18,Data Analyst,15048.0,1,2022
34,Data Analyst,150000.0,10-100,2022
16,Data Analyst,242443.0,1000-4999,2022
Less than 1 year,Data Analyst,13656.0,2-9,2022
3,Data Analyst,7536.0,10-100,2022
8,Data Analyst,66119.0,1000-4999,2022
8,Data Analyst,45140.0,10000+,2022
14,Data Analyst,76788.0,2-9,2022
15,Data Analyst,91358.0,1000-4999,2022
5,Data Analyst,24084.0,10-100,2022
10,Data Analyst,97571.0,1000-4999,2022
15,Data Analyst,137000.0,100-1000,2022
16,Data Analyst,95979.0,10-100,2022
2,Data Analyst,38392.0,2-9,2022
5,Data Analyst,66372.0,100-1000,2022
14,Data Analyst,120000.0,2-9,2022
16,Data Analyst,33852.0,2-9,2022
4,Data Analyst,53322.0,1000-4999,2022
25,Data Analyst,81387.0,1000-4999,2022
36,Data Analyst,140551.0,2-9,2022
26,Data Analyst,150000.0,1,2022
10,Data Analyst,165000.0,10-100,2022
16,Data Analyst,240000.0,1,2022
23,Data Analyst,200000.0,10000+,2022
7,Data Analyst,130000.0,0,2022
25,Data Analyst,149922.0,10-100,2022
4,Data Analyst,95000.0,10000+,2022
8,Data Analyst,3335496.0,100-1000,2022
15,Data Analyst,7509.0,10-100,2022
8,Data Analyst,39888.0,10000+,2022
11,Data Analyst,20664.0,10-100,2022
8,Data Analyst,165000.0,10-100,2022
7,Data Analyst,38392.0,100-1000,2022
2,Data Analyst,12897.0,10000+,2022
16,Data Analyst,31092.0,10-100,2022
3,Data Analyst,85500.0,10000+,2022
3,Data Analyst,12000.0,0,2022
6,Data Analyst,5280.0,100-1000,2022
32,Data Analyst,84696.0,1,2022
2,Data Analyst,5804.0,5000-9999,2022
10,Data Analyst,18000.0,10000+,2022
15,Data Analyst,150767.0,10000+,2022
2,Data Analyst,8472.0,10-100,2022
6,Data Analyst,42552.0,10-100,2022
11,Data Analyst,41568.0,10-100,2022
26,Data Analyst,101578.0,2-9,2022
18,Data Analyst,16860.0,100-1000,2022
10,Data Analyst,275000.0,10000+,2022
Less than 1 year,Data Analyst,18120.0,10000+,2022
3,Data Analyst,20316.0,1000-4999,2022
3,Data Analyst,117308.0,1000-4999,2022
19,Data Analyst,43368.0,2-9,2022
21,Data Analyst,10152.0,10-100,2022
21,Data Analyst,130000.0,0,2022
10,Data Analyst,400000.0,1,2022
1,Data Analyst,14436.0,10-100,2022
10,Data Analyst,98112.0,10-100,2022
9,Data Analyst,18056.0,10-100,2022
40,Data Analyst,138637.0,10000+,2022
Less than 1 year,Data Analyst,2044.0,2-9,2022
22,Data Analyst,175000.0,1000-4999,2022
19,Data Analyst,74640.0,100-1000,2022
2,Data Analyst,2004.0,1,2022
15,Data Analyst,6912.0,100-1000,2022
4,Data Analyst,12000.0,2-9,2022
23,Data Analyst,57588.0,10-100,2022
3,Data Analyst,57600.0,10-100,2022
5,Data Analyst,12000.0,2-9,2022
4,Data Analyst,43642.0,10000+,2022
Less than 1 year,Data Analyst,21768.0,1,2022
20,Data Analyst,24924.0,10-100,2022
7,Data Analyst,37200.0,100-1000,2022
1,Data Analyst,140000.0,2-9,2022
12,Data Analyst,74928.0,1000-4999,2022
8,Data Analyst,175000.0,10-100,2022
2,Data Analyst,34126.0,10-100,2022
10,Data Analyst,870216.0,5000-9999,2022
6,Data Analyst,34822.0,10000+,2022
3,Data Analyst,72000.0,10000+,2022
11,Data Analyst,19570.0,10000+,2022
20,Data Analyst,240000.0,10-100,2022
2,Data Analyst,1644.0,1,2022
44,Data Analyst,160000.0,2-9,2022
2,Data Analyst,10212.0,10-100,2022
34,Data Analyst,69318.0,1,2022
17,Data Analyst,270000.0,10000+,2022
15,Data Analyst,24924.0,10-100,2022
Less than 1 year,Data Analyst,34822.0,10000+,2022
4,Data Analyst,53322.0,10000+,2022
29,Data Analyst,28584.0,1000-4999,2022
10,Data Analyst,639864.0,100-1000,2022
20,Data Analyst,84925.0,1,2022
2,Data Analyst,5988.0,1,2022
4,Data Analyst,42228.0,1000-4999,2022
32,Data Analyst,104034.0,0,2022
13,Data Analyst,27804.0,10-100,2022
22,Data Analyst,110000.0,10-100,2022
14,Data Analyst,400000.0,10-100,2022
5,Data Analyst,38392.0,100-1000,2022
8,Data Analyst,106644.0,10000+,2022
3,Data Analyst,1290.0,10-100,2022
2,Data Analyst,47172.0,1000-4999,2022
10,Data Analyst,93500.0,10000+,2022
7,Data Analyst,20071.0,1,2022
9,Data Analyst,53322.0,10-100,2022
