YearsCodedJob,DeveloperType,Salary,CompanySize,Year
5,Data Scientist,95000.0,2-9,2017
6,Data Scientist,13757.9617834395,10-100,2017
2,Data Scientist,26250.0,10-100,2017
4,Data Scientist,85000.0,10-100,2017
13,Data Scientist,71394.5172824791,10-100,2017
3,Data Scientist,49375.0,100-1000,2017
20,Data Scientist,170000.0,1000-4999,2017
8,Data Scientist,110000.0,10000+,2017
5,Data Scientist,70000.0,1000-4999,2017
4,Data Scientist,72000.0,100-1000,2017
5,Data Scientist,63000.0,100-1000,2017
6,Data Scientist,102000.0,5000-9999,2017
2,Data Scientist,50000.0,10-100,2017
2,Data Scientist,835.421888053467,10-100,2017
12,Data Scientist,71770.3349282297,100-1000,2017
20,Data Scientist,107526.88172043,10000+,2017
4,Data Scientist,53030.303030303,2-9,2017
1,Data Scientist,35483.8709677419,2-9,2017
12,Data Scientist,38709.6774193548,2-9,2017
13,Data Scientist,58750.0,100-1000,2017
1,Data Scientist,8125.0,10-100,2017
20,Data Scientist,160000.0,5000-9999,2017
3,Data Scientist,12631.5789473684,100-1000,2017
12,Data Scientist,50000.0,10-100,2017
15,Data Scientist,197000.0,100-1000,2017
14,Data Scientist,120000.0,5000-9999,2017
4,Data Scientist,30107.5268817204,10-100,2017
10,Data Scientist,56818.1818181818,10-100,2017
20,Data Scientist,150000.0,100-1000,2017
11,Data Scientist,63636.3636363636,100-1000,2017
15,Data Scientist,57015.5902004454,10000+,2017
7,Data Scientist,60000.0,100-1000,2017
4,Data Scientist,3763.44086021505,2-9,2017
13,Data Scientist,25841.8167580266,100-1000,2017
4,Data Scientist,12420.3821656051,10-100,2017
5,Data Scientist,8086.25336927224,100-1000,2017
20,Data Scientist,93750.0,10-100,2017
9,Data Scientist,1528.66242038217,100-1000,2017
11,Data Scientist,59139.7849462366,10000+,2017
7,Data Scientist,53763.4408602151,100-1000,2017
5,Data Scientist,100000.0,10000+,2017
5,Data Scientist,33750.0,I don't know,2017
5,Data Scientist,62204.3010752688,10-100,2017
6,Data Scientist,83000.0,10000+,2017
4,Data Scientist,2101.91082802548,1000-4999,2017
3,Data Scientist,60000.0,5000-9999,2017
2,Data Scientist,71200.0,100-1000,2017
14,Data Scientist,117000.0,100-1000,2017
17,Data Scientist,31269.000260575,100-1000,2017
10,Data Scientist,78984.8484848485,1000-4999,2017
17,Data Scientist,127834.0,1000-4999,2017
20,Data Scientist,77751.1961722488,5000-9999,2017
1,Data Scientist,40000.0,10-100,2017
3,Data Scientist,71250.0,2-9,2017
7,Data Scientist,794.28117553614,10-100,2017
20,Data Scientist,125757.575757576,10-100,2017
17,Data Scientist,68000.0,I don't know,2017
5,Data Scientist,7341.06592277199,10000+,2017
5,Data Scientist,43010.752688172,I don't know,2017
2,Data Scientist,40500.0,I don't know,2017
4,Data Scientist,68000.0,1000-4999,2017
11,Data Scientist,86400.0,1000-4999,2017
5,Data Scientist,114832.535885167,10-100,2017
12,Data Scientist,160000.0,10-100,2017
20,Data Scientist,72000.0,1000-4999,2017
20,Data Scientist,66250.0,2-9,2017
7,Data Scientist,106060.606060606,100-1000,2017
14,Data Scientist,68181.8181818182,10-100,2017
12,Data Scientist,18000.0,10-100,2017
6,Data Scientist,10000.0,1000-4999,2017
8,Data Scientist,55681.8181818182,100-1000,2017
20,Data Scientist,71236.5591397849,1000-4999,2017
20,Data Scientist,50000.0,10-100,2017
4,Data Scientist,48387.0967741935,100-1000,2017
10,Data Scientist,69892.4731182796,0,2017
6,Data Scientist,48086.0215053763,5000-9999,2017
6,Data Scientist,6.77495005645792,100-1000,2017
