YearsCodePro,DevType,ConvertedComp,OrgSize,Year
6,Data Analyst,60535.0,10000+,2020
2,Data Analyst,84369.0,10-100,2020
25,Data Analyst,71184.0,10-100,2020
3,Data Analyst,4887.0,10-100,2020
20,Data Analyst,43200.0,10-100,2020
1,Data Analyst,466980.0,100-1000,2020
1,Data Analyst,11169.0,1000-4999,2020
10,Data Analyst,28646.0,100-1000,2020
3,Data Analyst,13264.0,10-100,2020
3,Data Analyst,51888.0,10-100,2020
8,Data Analyst,16752.0,2-9,2020
5,Data Analyst,19452.0,2-9,2020
3,Data Analyst,311292.0,100-1000,2020
1,Data Analyst,4356.0,2-9,2020
Less than 1 year,Data Analyst,244296.0,10000+,2020
9,Data Analyst,577344.0,1000-4999,2020
Less than 1 year,Data Analyst,31888.0,100-1000,2020
4,Data Analyst,54480.0,10000+,2020
4,Data Analyst,11365.0,5000-9999,2020
2,Data Analyst,25944.0,10-100,2020
8,Data Analyst,8377.0,1,2020
3,Data Analyst,21960.0,10-100,2020
3,Data Analyst,11867.0,10000+,2020
3,Data Analyst,21864.0,10000+,2020
4,Data Analyst,355463.0,10000+,2020
10,Data Analyst,10056.0,10-100,2020
24,Data Analyst,67215.0,10000+,2020
2,Data Analyst,7037.0,5000-9999,2020
2,Data Analyst,10596.0,100-1000,2020
2,Data Analyst,24384.0,10-100,2020
26,Data Analyst,108098.0,10000+,2020
4,Data Analyst,11169.0,100-1000,2020
Less than 1 year,Data Analyst,15564.0,10-100,2020
10,Data Analyst,62913.0,2-9,2020
8,Data Analyst,47169.0,10-100,2020
2,Data Analyst,2544.0,10-100,2020
4,Data Analyst,43239.0,10000+,2020
Less than 1 year,Data Analyst,4944.0,10-100,2020
4,Data Analyst,5652.0,10-100,2020
3,Data Analyst,10512.0,1,2020
3,Data Analyst,38915.0,10-100,2020
13,Data Analyst,15358.0,100-1000,2020
1,Data Analyst,4236.0,10-100,2020
3,Data Analyst,6144.0,10-100,2020
1,Data Analyst,3504.0,2-9,2020
12,Data Analyst,37834.0,1000-4999,2020
4,Data Analyst,9216.0,10-100,2020
9,Data Analyst,13669.0,10000+,2020
7,Data Analyst,28928.0,10-100,2020
9,Data Analyst,22339.0,10000+,2020
8,Data Analyst,19764.0,100-1000,2020
16,Data Analyst,30000.0,1,2020
11,Data Analyst,54480.0,100-1000,2020
1,Data Analyst,4728.0,100-1000,2020
17,Data Analyst,140000.0,1,2020
8,Data Analyst,8472.0,5000-9999,2020
10,Data Analyst,39093.0,10000+,2020
1,Data Analyst,46533.0,100-1000,2020
20,Data Analyst,39300.0,10-100,2020
7,Data Analyst,1000000.0,10000+,2020
1,Data Analyst,180000.0,10-100,2020
2,Data Analyst,36193.0,10-100,2020
15,Data Analyst,325728.0,1000-4999,2020
Less than 1 year,Data Analyst,38916.0,10000+,2020
3,Data Analyst,2820.0,10000+,2020
11,Data Analyst,41520.0,10000+,2020
8,Data Analyst,6283.0,2-9,2020
6,Data Analyst,10000.0,1,2020
20,Data Analyst,56616.0,100-1000,2020
2,Data Analyst,48644.0,100-1000,2020
