YearsCodingProf,DevType,ConvertedSalary,CompanySize,Year
14,Data Analyst,62507.0,5000-9999,2018
29,Data Analyst,14688.0,Fewer than 10 employees,2018
20,Data Analyst,67000.0,10000+,2018
5,Data Analyst,95000.0,100-1000,2018
11,Data Analyst,63979.0,Fewer than 10 employees,2018
11,Data Analyst,121308.0,10-100,2018
5,Data Analyst,75000.0,100-1000,2018
2,Data Analyst,7200.0,10-100,2018
30,Data Analyst,98000.0,5000-9999,2018
26,Data Analyst,2000000.0,10000+,2018
2,Data Analyst,15024.0,100-1000,2018
11,Data Analyst,14820.0,10-100,2018
20,Data Analyst,48616.0,Fewer than 10 employees,2018
5,Data Analyst,12732.0,Fewer than 10 employees,2018
5,Data Analyst,150000.0,10000+,2018
30,Data Analyst,70000.0,10-100,2018
2,Data Analyst,102900.0,100-1000,2018
26,Data Analyst,99967.0,Fewer than 10 employees,2018
2,Data Analyst,3432.0,10-100,2018
5,Data Analyst,23496.0,Fewer than 10 employees,2018
2,Data Analyst,48955.0,100-1000,2018
17,Data Analyst,59076.0,10000+,2018
11,Data Analyst,59868.0,5000-9999,2018
17,Data Analyst,58746.0,1000-4999,2018
8,Data Analyst,17400.0,100-1000,2018
5,Data Analyst,52783.0,1000-4999,2018
11,Data Analyst,108000.0,10-100,2018
30,Data Analyst,119960.0,1000-4999,2018
8,Data Analyst,56000.0,1000-4999,2018
5,Data Analyst,58752.0,10-100,2018
17,Data Analyst,79973.0,100-1000,2018
5,Data Analyst,70000.0,10-100,2018
29,Data Analyst,69228.0,10-100,2018
17,Data Analyst,23580.0,10-100,2018
2,Data Analyst,69761.0,100-1000,2018
5,Data Analyst,120000.0,100-1000,2018
23,Data Analyst,110000.0,100-1000,2018
17,Data Analyst,65268.0,10-100,2018
2,Data Analyst,72000.0,10000+,2018
2,Data Analyst,33337.0,5000-9999,2018
11,Data Analyst,7572.0,10000+,2018
5,Data Analyst,150000.0,1000-4999,2018
11,Data Analyst,81036.0,10-100,2018
8,Data Analyst,225000.0,10-100,2018
2,Data Analyst,12524.0,10000+,2018
14,Data Analyst,36000.0,10-100,2018
5,Data Analyst,120000.0,100-1000,2018
5,Data Analyst,187848.0,10000+,2018
14,Data Analyst,44064.0,10-100,2018
20,Data Analyst,117000.0,10-100,2018
8,Data Analyst,44449.0,Fewer than 10 employees,2018
20,Data Analyst,115000.0,5000-9999,2018
20,Data Analyst,102000.0,10000+,2018
30,Data Analyst,25003.0,1000-4999,2018
5,Data Analyst,10680.0,1000-4999,2018
20,Data Analyst,113000.0,10000+,2018
14,Data Analyst,26436.0,10-100,2018
11,Data Analyst,80527.0,10000+,2018
11,Data Analyst,104178.0,10-100,2018
5,Data Analyst,60000.0,10-100,2018
5,Data Analyst,7140.0,10000+,2018
2,Data Analyst,74500.0,10000+,2018
8,Data Analyst,25830.0,100-1000,2018
5,Data Analyst,16848.0,10-100,2018
23,Data Analyst,1000000.0,10-100,2018
8,Data Analyst,65000.0,100-1000,2018
14,Data Analyst,150000.0,10-100,2018
5,Data Analyst,29170.0,1000-4999,2018
17,Data Analyst,83342.0,100-1000,2018
2,Data Analyst,53000.0,5000-9999,2018
8,Data Analyst,98000.0,100-1000,2018
5,Data Analyst,61194.0,100-1000,2018
8,Data Analyst,178272.0,10000+,2018
17,Data Analyst,100000.0,Fewer than 10 employees,2018
14,Data Analyst,59729.0,10000+,2018
20,Data Analyst,155000.0,10-100,2018
5,Data Analyst,44064.0,1000-4999,2018
5,Data Analyst,466716.0,100-1000,2018
14,Data Analyst,675576.0,Fewer than 10 employees,2018
20,Data Analyst,14112.0,100-1000,2018
2,Data Analyst,25476.0,10-100,2018
17,Data Analyst,52404.0,10-100,2018
2,Data Analyst,75000.0,5000-9999,2018
8,Data Analyst,400000.0,100-1000,2018
2,Data Analyst,50000.0,10-100,2018
8,Data Analyst,150000.0,100-1000,2018
20,Data Analyst,807756.0,1000-4999,2018
8,Data Analyst,37852.0,100-1000,2018
5,Data Analyst,38199.0,100-1000,2018
11,Data Analyst,96626.0,100-1000,2018
8,Data Analyst,12398.0,10000+,2018
23,Data Analyst,0.0,10-100,2018
11,Data Analyst,77300.0,10-100,2018
11,Data Analyst,160000.0,10-100,2018
11,Data Analyst,105000.0,5000-9999,2018
8,Data Analyst,60000.0,10000+,2018
29,Data Analyst,200000.0,10000+,2018
14,Data Analyst,100000.0,1000-4999,2018
20,Data Analyst,25080.0,10-100,2018
2,Data Analyst,38772.0,100-1000,2018
14,Data Analyst,22308.0,1000-4999,2018
2,Data Analyst,52404.0,1000-4999,2018
8,Data Analyst,31536.0,10-100,2018
20,Data Analyst,40261.0,10-100,2018
2,Data Analyst,55981.0,10-100,2018
5,Data Analyst,56298.0,1000-4999,2018
5,Data Analyst,21168.0,10000+,2018
8,Data Analyst,2000000.0,100-1000,2018
8,Data Analyst,21984.0,1000-4999,2018
11,Data Analyst,52783.0,100-1000,2018
5,Data Analyst,52339.0,10000+,2018
8,Data Analyst,51000.0,1000-4999,2018
2,Data Analyst,37404.0,10000+,2018
20,Data Analyst,2000000.0,100-1000,2018
5,Data Analyst,3792.0,100-1000,2018
8,Data Analyst,55562.0,100-1000,2018
17,Data Analyst,61118.0,10-100,2018
8,Data Analyst,75600.0,100-1000,2018
8,Data Analyst,34752.0,10000+,2018
8,Data Analyst,52783.0,1000-4999,2018
11,Data Analyst,53000.0,5000-9999,2018
11,Data Analyst,63684.0,10-100,2018
2,Data Analyst,11640.0,10-100,2018
8,Data Analyst,95968.0,100-1000,2018
5,Data Analyst,10284.0,10-100,2018
5,Data Analyst,28236.0,100-1000,2018
30,Data Analyst,95000.0,5000-9999,2018
8,Data Analyst,78000.0,100-1000,2018
8,Data Analyst,31872.0,10-100,2018
5,Data Analyst,55000.0,Fewer than 10 employees,2018
2,Data Analyst,63979.0,100-1000,2018
5,Data Analyst,9396.0,10-100,2018
5,Data Analyst,132000.0,10000+,2018
5,Data Analyst,18000.0,5000-9999,2018
30,Data Analyst,109734.0,10-100,2018
5,Data Analyst,89200.0,10000+,2018
